2017.05.23 14:43:40 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@6dfdb284 [pattern=org.sonar.api.web.ServletFilter$UrlPattern@16fb52ad]
2017.05.23 14:43:40 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@28f3cd20 [pattern=org.sonar.api.web.ServletFilter$UrlPattern@584c7015]
2017.05.23 14:43:40 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.DeprecatedPropertiesWsFilter@56821948 [pattern=org.sonar.api.web.ServletFilter$UrlPattern@602e4475]
2017.05.23 14:43:40 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@565d08f [pattern=org.sonar.api.web.ServletFilter$UrlPattern@436bd132]
2017.05.23 14:43:40 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@40d9bae1 [pattern=org.sonar.api.web.ServletFilter$UrlPattern@6b93fbdd]
2017.05.23 14:43:40 INFO  web[][o.s.s.a.TomcatAccessLog] Web server is started
2017.05.23 14:43:40 INFO  web[][o.s.s.a.EmbeddedTomcat] HTTP connector enabled on port 9000
2017.05.23 17:12:57 INFO  web[][o.s.s.n.NotificationDaemon] Notification service stopped
2017.05.23 17:12:57 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database stopped
2017.05.23 17:12:58 INFO  web[][o.s.s.a.TomcatAccessLog] Web server is stopped
